MLT_UTZTN_BSSH_SN,FRSTN_NM,CNTR_NM,CONM_NM,TPBIZ_NM,REG_DT,REG_YMD,REG_TM,REG_YR,REG_MM,REG_DAY,BDST_USG_NM,INSTL_DCLR_YMD,PFCMP_YMD,STTS_SCSN_YMD,CONM_ADDR,ROAD_NM,BLDG_NM,NLMBLT_MATRL_DSCTN,NLMBLT_INSTL_AREA,FRRST_CMDTY_NM,FRRST_INSTL_AREA,FLR_NO_NM,TRGTOBJ_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,CORP_YN,USE_YN
MU412023938237,파주소방서,적성119안전센터,악쓰는하마코인노래연습장,노래연습장업,20230213185709,20230213,185709,2023,02,13,,20221227,20230213,,경기도 파주시 야당동 ,경의로,,방화석고.유리 등,1034.0,선처리(필름)-47.55㎡.후처리(도료)-78.92㎡.소파,126.0,2/7,,양식(옥),철근콘크리트조,,Y
MU442023268495,아산소방서,배방119안전센터,브런치빈 아산점,일반음식점,20230213193108,20230213,193108,2023,02,13,,20230207,20230213,,충청남도 아산시 배방읍 북수리,월천2길,,콘크리트. 방화석고보드. 타일. 유리,721.0,,,0/2,,양식(옥),철골조,,Y
MU272023168316,달서소방서,월성119안전센터,대박참치,일반음식점,20230213130351,20230213,130351,2023,02,13,,20221229,20230213,,대구광역시 달서구 월성동 ,상원로,,방화석고보드.철재.유리.콘크리트,373.0,방염필름,69.0,0/4,,양식(옥),철골조,,Y
MU412022935913,수원남부소방서,남부119안전센터,로빈슨 PC,인터넷컴퓨터게임시설제공업(PC방),20230915132711,20230915,132711,2023,09,15,,20220901,20221007,,경기도 수원시 권선구 권선동 ,경수대로384번길,,콘크리트.유리,246.0,해당없음,,1/3,,양식(옥),기타,,Y
MU312023145009,온산소방서,온양119안전센터,오프그레이,휴게음식점,20230202101159,20230202,101159,2023,02,02,복합건축물,20221130,20230202,,울산광역시 울주군 온양읍 동상리,덕남로,,콘크리트. 석재. 유리. 석고보드 등,597.0,합판-필름. 도료,82.0,2,,양식(옥),철근콘크리트조,,Y
MU312023144978,온산소방서,온산119안전센터,미스트롯7080라이브,유흥주점,20230202101624,20230202,101624,2023,02,02,위락시설,20221221,20230202,,울산광역시 울주군 온산읍 덕신리,온덕1길,,석고보드. 콘크리트. 유리. 타일,486.0,,,3,,양식(옥),철근콘크리트조,,Y
MU442023268420,청양소방서,청양119안전센터,우정PC,인터넷컴퓨터게임시설제공업(PC방),20230202141157,20230202,141157,2023,02,02,근린생활시설,20221115,20230202,,충청남도 청양군 청양읍 읍내리,중앙로9길,,유리. 철제. 콘크리트,171.0,,,1/6,,기타 식,철근콘크리트조,,Y
MU412023938055,의왕소방서,백운119안전센터,스타벅스 의왕청계DT점,휴게음식점,20230303091225,20230303,091225,2023,03,03,근린생활시설,20221215,20221229,20230223,경기도 의왕시 청계동 ,안양판교로,,금속.유리.콘크리트.타일.방화석고,1204.0,문.문틀,4.0,/2,,양식(옥),철근콘크리트조,,Y
MU272023168286,중부소방서,남산119안전센터,라쿵푸훠궈,일반음식점,20230202144747,20230202,144747,2023,02,02,근린생활시설,20221228,20230202,,대구광역시 중구 봉산동 ,달구벌대로,,유리.콘크리트위 칠. 타일 석고보드위 칠,216.0,,,1/4,,양식(옥),철근콘크리트조,,Y
MU272023168287,중부소방서,대신119안전센터,스타벅스 동성로로데오점,휴게음식점,20230202144820,20230202,144820,2023,02,02,근린생활시설,20221220,20230202,,대구광역시 중구 삼덕동1가 ,동성로5길,,석고.유리.타일.콘크리트.합판.MDF 등,812.0,,,1/5,,기타 식,철골조,Y,Y
MU412023938053,의정부소방서,송산119안전센터,소플러스 의정부점,일반음식점,20230202150705,20230202,150705,2023,02,02,,20221128,20230202,,경기도 의정부시 용현동 ,민락로,,방화석고.석고.유리.금속.타일.콘크리트.시멘트,2233.0,,,0/2,,양식(옥),철골조,Y,Y
MU472023240680,영주소방서,가흥119안전센터,카페 컴트루,일반음식점,20230202135348,20230202,135348,2023,02,02,근린생활시설,20230105,20230202,,경상북도 영주시 영주동 ,영주로,,유리. 조적. 콘크리트. 철판. 석고보드,215.0,,,지하0/지상2,,양식(옥),철골조,,Y
MU412022935188,의왕소방서,백운119안전센터,민물장어,일반음식점,20230202153613,20230202,153613,2023,02,02,근린생활시설,20220421,20220829,,경기도 의왕시 포일동 ,안양판교로,,콘크리트.유리.석고.석고보드,258.0, 합판(방염도료 수성투명무광),,3,,양식(옥),철근콘크리트조,,Y
MU412022935189,의왕소방서,백운119안전센터,원주추어탕,일반음식점,20230202153706,20230202,153706,2023,02,02,근린생활시설,20220421,20230202,,경기도 의왕시 포일동 ,안양판교로,,콘크리트. 유리,236.0,,,3,,양식(옥),철근콘크리트조,,Y
MU412022934874,의왕소방서,부곡119안전센터,물라PC 의왕역점,인터넷컴퓨터게임시설제공업(PC방),20230202153809,20230202,153809,2023,02,02,근린생활시설,20220804,20220811,,경기도 의왕시 삼동 ,부곡중앙남2길,,석고보드.유리.타일.콘크리트.방화석고보드,257.0,선처리필름,19.0,4,,양식(옥),철근콘크리트조,,Y
MU502023146443,제주소방서,삼도센터,남호식당(바당돔녀),일반음식점,20230213131804,20230213,131804,2023,02,13,,20220905,20230213,,제주특별자치도 제주시 용담삼동 ,서해안로,,방화석고보드. 유리,236.0,,,0/2,,양식(옥),철근콘크리트조,,Y
MU412023938228,의정부소방서,호원119안전센터,스타벅스 의정부신곡DT점,휴게음식점,20230213134301,20230213,134301,2023,02,13,,20230111,20230210,,경기도 의정부시 신곡동 ,회룡로,,콘크리트. 조적. 석고. 유리. 타일,967.0,,,0/2,,양식(옥),철근콘크리트조,Y,Y
MU282023231879,남동소방서,구월119안전센터,브런치빈 구월점,일반음식점,20230213134958,20230213,134958,2023,02,13,,20230110,20230213,,인천광역시 남동구 구월동 ,구월로,위너스프라자,콘크리트.유리.방화석고.타일,517.0,합판:방염필름,66.0,3/5,위너스프라자(A-8)★ - 위너스프라자동,양식(옥),철근콘크리트조,,Y
MU302023246990,둔산소방서,샘머리119안전센터,시장을여는 사람들 대전둔산점,일반음식점,20230213145932,20230213,145932,2023,02,13,,20230201,20230213,,대전광역시 서구 둔산동 ,대덕대로185번길,,석고. 타일. 콘크리트. 유리.방화석고,434.0,,,지하2층/지상7층,,양식(옥),철근콘크리트조,,Y
MU472023240714,경주소방서,보문119안전센터,경주보문애정원,휴게음식점,20231122155939,20231122,155939,2023,11,22,,20230203,20230213,20231122,경상북도 경주시 북군동 ,북군길,,석고보드.타일.유리,500.0,,,2,,양식(옥),철근콘크리트조,,Y
MU302023246991,동부소방서,부사119안전센터,그림제작소 대전은행점,일반음식점,20230213162113,20230213,162113,2023,02,13,,20230203,20230213,,대전광역시 중구 대흥동 ,대흥로165번길,,콘크리트. 유리. 방화석고,291.0, 합판(방염도료),36.0,지하1층/지상3층,,양식(옥),철근콘크리트조,,Y
